Compactness,Smoothness,Aspect_Ratio,Rectangularity,Mean_Red,Mean_Hue,Solidity,Circularity,Mean_Saturation,Mean_Value,RG_Ratio,RB_Ratio,Variety,Ripeness
351.05427906083287,0.0053272477232542,0.6796875,0.16280531609195403,96.7998230552461,16.82770823776132,0.27009562472648724,0.03579609013163914,82.53866570548529,97.12068287567993,1.1947101142444174,1.4206146927257708,D200_BlackThorn,defective
512.355741422627,0.0025367547759258605,1.0,0.33437156677246094,107.68711372574941,17.16547135098214,0.43907319932075356,0.024526651305725383,71.24084784788093,107.8100164149343,1.1469127855705026,1.3489893206894166,D200_BlackThorn,defective
265.43974335140604,0.004348556922753801,1.0,0.40203094482421875,90.67648476757337,16.3376907529992,0.5279187308711486,0.04734170722024474,69.14781850883536,90.75922938569653,1.1483229786536584,1.335359516566816,D200_BlackThorn,defective
564.9927784513231,0.0022711671298440038,0.75,0.2949473063151042,123.58002605154248,16.708008376065557,0.39439043217748215,0.02224164820089258,76.53873930320367,123.77432439116885,1.1632238677548041,1.3847231239185032,D200_BlackThorn,defective
90.36074788857526,0.014320079802640552,2.6194690265486726,0.4662909591006936,64.27423548347159,10.980066856506129,0.6490833801527353,0.139068908879051,64.29206388510586,64.29961619413149,1.2243678789837007,1.4996353048057438,D200_BlackThorn,defective
121.02454222390845,0.021826103458354253,1.1696969696969697,0.39706390328151986,98.4372586141613,17.302688375615297,0.5789208616624316,0.10383324227833088,77.79083680424081,98.4372586141613,1.1429405485633493,1.4091369325733316,D200_BlackThorn,defective
175.43815094930463,0.002489285880384595,1.0,0.6877689361572266,136.25570623940504,47.16978728058183,0.7012457896742977,0.07162849440878116,82.53431399354733,148.05531798545414,1.1160044242307927,1.2057210812365549,D197_MusangKing,defective
297.7175410586822,0.0023148068314101395,1.0,0.6121616363525391,142.95068782810102,48.533768051286124,0.624156962497958,0.04220903669186981,81.27472789385874,155.02875372026082,1.1165786105975748,1.2046987815791512,D197_MusangKing,defective
325.8706549322206,0.002230136030829939,1.0,0.6025485992431641,115.28179810960332,48.287863752511846,0.614355557629927,0.03856244931588858,81.06637475501749,124.66418169639535,1.1236409214355898,1.2120140536326496,D197_MusangKing,defective
178.59598468211388,0.0026538794855719395,1.0,0.6823520660400391,161.432730458934,47.80387845523079,0.6951212166549761,0.07036199966492122,83.82091764757747,175.80610479213507,1.1190488014383488,1.208151382403648,D197_MusangKing,defective
61.50370327961382,0.01091013132992644,1.0652920962199313,0.6056811883383217,177.50973358808898,17.87910523090234,0.8190021509889303,0.20431892624788422,50.479289087566244,178.26655611233284,1.1105719952378368,1.227156742568593,D197_MusangKing,mature
62.31322645032507,0.012078061150517657,0.8338278931750742,0.5622564600779327,178.2216386166081,18.16138339189939,0.7740866202404664,0.2016645795796956,50.23785833179212,178.53216201220638,1.1160919586824096,1.2326144266547623,D197_MusangKing,mature
82.19412647469572,0.007076652331527801,1.5192878338278932,0.5632012704005934,90.42615361185848,55.35068785217524,0.6820802757042637,0.15288647928179946,99.28941570638104,94.33093050408651,1.0987763539376527,1.5509902000461124,D197_MusangKing,defective
81.77430303413959,0.0070890156961256785,1.5192878338278932,0.5641198766691394,90.49078560567663,55.30356817029903,0.6831688032763298,0.1536713875642926,99.31546882919412,94.38953877344146,1.0989282302140277,1.5515182062215997,D197_MusangKing,defective
107.88284414153148,0.0063451461603600086,1.4545454545454546,0.5633655894886364,73.24540365379205,55.6843146956952,0.6514182326786986,0.11648164000824222,102.19046094439756,76.35620106528509,1.116135844472919,1.5669840773010475,D197_MusangKing,defective
313.2909776897308,0.002571361621906569,1.0343434343434343,0.4876302083333333,169.6232931981077,33.11085707956901,0.5458279505780251,0.040110860220189094,111.41268610667215,171.696952676297,1.1375039331242354,1.6901617420013832,D197_MusangKing,defective
145.1279748055275,0.006124913805974949,1.603896103896104,0.43579118250170884,61.52201322860686,58.1185407193055,0.5219915607828318,0.08658820348866715,86.27715112502214,65.32891395499911,1.1230452868987764,1.4002883909051012,D197_MusangKing,defective
184.83029280514873,0.0050359941700146,1.1428571428571428,0.41015407017299105,63.21057840563404,57.61115972829937,0.4775221301823202,0.06798869613655191,74.6820956786265,66.97696587073385,1.1204261176456685,1.2958532402433893,D197_MusangKing,defective
114.06467802186826,0.006673617765146805,0.8606741573033708,0.5093378707425118,169.9279747940113,22.156528736413815,0.7422713028161487,0.11016881678261498,38.01653576326318,170.19799848129384,1.0475661566637084,1.1679908942974924,D175_UdangMerah,defective
100.22792639505911,0.006366955981356364,0.9236453201970444,0.5237635467980296,170.65076211045974,22.4664239432274,0.7428456981033648,0.12537793673219855,37.68123418697933,170.93588398642396,1.0456524399125118,1.1660932894669485,D175_UdangMerah,defective
135.49909963380597,0.0053094607941285826,0.9211822660098522,0.49826795922130607,136.9385910305294,21.98758851451249,0.7130679006818814,0.09274135878629824,38.43668456410656,137.20086633984386,1.048484472951405,1.1698417596175419,D175_UdangMerah,defective
124.53917714342512,0.006438018190212833,0.8606741573033708,0.5012673453222636,203.84069177396526,21.90480628718055,0.7322003248186286,0.10090295200752092,38.45121796863313,204.19736039674592,1.0490925221350906,1.1702705982508153,D175_UdangMerah,defective
88.54290190469088,0.007132713266009004,0.907928388746803,0.5773495191095421,170.45054769427472,22.399822967507163,0.7611661735583111,0.14192408814300927,37.80678870434345,170.72349737524743,1.0461709503259216,1.167503716494499,D175_UdangMerah,defective
